"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Nepal,1,0,0,0,1,"1,162","1,490"
Oman,0,0,0,0,0,31,37
Pakistan,2,0,0,3,5,"2,589","7,682"
Philippines,0,0,0,2,2,"7,628","25,770"
Qatar,0,0,0,0,0,42,57
Saudi Arabia,0,0,0,1,1,173,301
Singapore,0,0,0,5,5,355,391
Sri Lanka,0,2,0,0,2,544,783
Syria,0,0,0,0,0,283,"1,045"
Thailand,0,0,0,0,0,472,822
Timor-Leste,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,184,288
Vietnam,7,0,0,19,26,382,"17,940"
Yemen,0,0,0,0,0,41,849
Region Total For Asia,164,126,1,"2,744","3,035","87,339","179,024"
Europe,,,,,,,
Albania,0,0,0,0,0,98,350
Andorra,0,0,0,0,0,0,0
Armenia,0,0,0,0,0,118,302
Austria,0,0,0,1,1,150,160
Azerbaijan,0,0,0,0,0,44,96
Belarus,0,0,0,0,0,195,265
Belgium,0,1,0,2,3,196,215
Bosnia and Herzegovina,0,0,0,0,0,40,60
Bulgaria,0,0,0,0,0,331,434
Croatia,0,0,0,0,0,61,72
Cyprus,0,0,0,0,0,36,40
Czech Republic,0,0,0,1,1,140,157
Denmark,0,0,0,0,0,195,200
Faroe Islands,0,0,0,0,0,0,0
Greenland,0,0,0,0,0,0,0
TOTAL,0,0,0,0,0,195,200
Estonia,0,0,0,0,0,19,29
Finland,0,0,0,1,1,161,163
France,4,0,0,6,10,"1,438","1,575"
French Guiana,0,0,0,0,0,0,0
French Polynesia,0,0,0,0,0,3,3
French Southern and Antarctic Lands,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0
Mayotte,0,0,0,0,0,1,4
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
New Caledonia,0,0,0,0,0,1,2
Reunion,0,0,0,0,0,1,1
Saint Barthelemy,0,0,0,0,0,0,0
Saint Martin,0,0,0,0,0,0,0
St. Pierre and Miquelon,0,0,0,0,0,0,0
Wallis and Futuna,0,0,0,0,0,0,0
TOTAL,4,0,0,6,10,"1,444","1,585"
Georgia,0,0,0,0,0,86,125
Germany,3,1,0,11,15,"1,564","1,722"
Great Britain and Northern Ireland,8,3,0,46,57,"4,601","5,194"
Anguilla,0,0,0,0,0,6,22
Bermuda,0,0,0,0,0,8,12
British Indian Ocean Territory,0,0,0,0,0,0,0
British Virgin Islands,0,0,0,0,0,0,12
Cayman Islands,0,0,0,0,0,2,11
Falkland Islands,0,0,0,0,0,0,0
Gibraltar,0,0,0,0,0,4,4
Montserrat,0,0,0,0,0,1,8
Pitcairn,0,0,0,0,0,1,1
St. Helena,0,0,0,0,0,0,0
South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,11
TOTAL,8,3,0,46,57,"4,623","5,275"
Greece,0,0,0,0,0,190,250
Hungary,0,0,0,4,4,213,235
Iceland,0,0,0,0,0,28,28
Ireland,0,0,0,2,2,377,392
Italy,2,0,0,14,16,624,705
Kazakhstan,0,0,0,5,5,101,147
Kosovo,0,0,0,0,0,18,72
Kyrgyzstan,0,0,0,0,0,22,45
Latvia,0,0,0,0,0,26,36
Liechtenstein,0,0,0,0,0,0,0
Lithuania,0,0,0,1,1,64,107
Luxembourg,0,0,0,0,0,4,5
Macedonia,0,0,0,0,0,51,245
Malta,0,0,0,0,0,14,15
Moldova,0,0,0,0,0,83,143
Monaco,0,0,0,0,0,5,5
Montenegro,0,0,0,0,0,12,53
Netherlands,2,3,4,17,26,432,453
Aruba,0,0,0,0,0,4,7
Curacao,0,0,0,0,0,4,8
Netherlands Antilles,0,0,0,0,0,7,10
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Sint Maarten,0,0,0,0,0,0,9
TOTAL,2,3,4,17,26,447,487
Norway,0,0,0,0,0,79,88
Svalbard,0,0,0,0,0,0,0
TOTAL,0,0,0,0,0,79,88
Poland,2,0,0,3,5,955,"2,311"
Portugal,0,0,0,0,0,115,195
Macau,0,0,0,0,0,14,60
TOTAL,0,0,0,0,0,129,255
Romania,0,0,0,0,0,661,915
Russia,6,0,0,24,30,"1,450","1,854"
San Marino,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,189,248
Slovakia,0,0,0,1,1,154,182
Slovenia,0,0,0,0,0,23,26
Spain,0,0,0,0,0,574,648
Western Sahara,0,0,0,0,0,0,0
TOTAL,0,0,0,0,0,574,648
Sweden,0,1,0,3,4,328,349
Switzerland,0,0,0,3,3,215,226
Tajikistan,0,0,0,0,0,34,44
Turkey,4,3,0,13,20,"1,120","1,305"
Turkmenistan,0,0,0,0,0,18,30
Ukraine,0,1,0,5,6,591,"1,123"
Uzbekistan,0,0,0,0,0,95,214
Vatican City,0,0,0,0,0,0,0
Region Total For Europe,31,13,4,163,211,"18,395","24,038"
North America,,,,,,,
Antigua and Barbuda,0,0,0,0,0,12,126
"Bahamas, The",0,0,0,0,0,51,125
Barbados,0,0,0,0,0,49,157
Belize,0,0,0,0,0,29,290
Canada,9,4,0,13,26,"5,081","5,720"
Costa Rica,0,0,0,0,0,162,368
Cuba,0,0,0,0,0,8,623
Dominica,0,0,0,0,0,21,290
Dominican Republic,2,0,0,0,2,312,"22,056"
El Salvador,0,0,0,2,2,537,"8,420"
Grenada,0,0,0,0,0,16,154
Guatemala,0,0,0,0,0,528,"4,195"
Haiti,0,0,0,0,0,106,"7,760"
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Honduras,0,0,0,0,0,420,"2,229"
Jamaica,0,0,0,1,1,589,"6,504"
Mexico,5,2,0,46,53,"9,347","54,079"
Nicaragua,0,0,0,0,0,44,961
Panama,0,1,0,0,1,99,364
Saint Kitts and Nevis,0,0,0,0,0,10,172
Saint Lucia,0,0,0,0,0,15,200
Saint Vincent and the Grenadines,0,0,0,0,0,8,129
Trinidad and Tobago,0,0,0,4,4,349,"1,378"
Region Total For North America,16,7,0,66,89,"17,793","116,300"
Oceania,,,,,,,
Australia,0,0,0,1,1,560,606
Christmas Island,0,0,0,0,0,0,0
Cocos (Keeling) Islands,0,0,0,0,0,0,1
Norfolk Island,0,0,0,0,0,0,0
TOTAL,0,0,0,1,1,560,607
Fiji,0,0,0,0,0,29,287
Kiribati,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,1,2
"Micronesia, Federated States of",0,0,0,0,0,2,3
Nauru,0,0,0,0,0,1,1
New Zealand,0,0,0,0,0,193,224
Cook Islands,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0
Tokelau,0,0,0,0,0,0,0
TOTAL,0,0,0,0,0,193,224
Palau,0,0,0,0,0,0,0
Papua New Guinea,0,0,0,0,0,3,6
Samoa,0,0,0,0,0,1,15
Solomon Islands,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,1,116
Tuvalu,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0
Region Total For Oceania,0,0,0,1,1,791,"1,261"
South America,,,,,,,
Argentina,1,0,0,8,9,"1,226","1,444"
Bolivia,0,0,0,1,1,318,685
Brazil,0,0,0,16,16,"2,381","2,887"
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Chile,0,0,0,0,0,336,504
Colombia,0,1,0,1,2,"1,796","6,459"
Ecuador,0,0,0,3,3,966,"4,561"
Guyana,0,0,0,2,2,157,"3,575"
Paraguay,0,0,0,0,0,39,85
Peru,0,2,0,0,2,"1,003","4,324"
Suriname,0,0,0,0,0,18,69
Uruguay,0,0,0,0,0,130,186
Venezuela,7,0,0,39,46,"2,146","2,831"
Region Total For South America,8,3,0,70,81,"10,516","27,610"
Grand Totals,230,152,5,"3,076","3,463","139,302","360,344"
