"",5th,5th Target,Regional,Regional,,Employ.,
Zimbabwe,0,0,0,2,2,218,262
Region Total For Africa,9,0,0,70,79,"5,835","15,953"
Asia,,,,,,,
Afghanistan,0,0,0,0,0,76,359
Bahrain,0,0,0,0,0,68,77
Bangladesh,0,0,0,12,12,756,"7,319"
Bhutan,0,0,0,0,0,9,16
Brunei,0,0,0,0,0,13,14
Burma,0,0,0,4,4,96,570
Cambodia,0,0,0,0,0,55,454
China - mainland born,156,149,4,"6,586","6,895","20,078","33,810"
"- Taiwan born",4,3,1,129,137,"2,435","3,272"
"- PRC nationals adjusting under CSPA",0,0,0,0,0,1,1
Hong Kong S.A.R,1,0,0,17,18,616,"1,401"
India,5,12,0,70,87,"35,298","48,294"
Indonesia,0,1,0,4,5,668,929
Iran,5,0,0,81,86,"1,604","3,723"
Iraq,0,0,0,9,9,108,374
Israel,0,4,2,1,7,"1,512","1,715"
Japan,0,0,0,75,75,"2,352","2,476"
Jordan,0,0,0,2,2,292,"1,679"
"Korea, North",0,0,0,0,0,54,65
"Korea, South",3,3,0,358,364,"14,420","16,234"
Kuwait,0,0,0,0,0,277,443
Laos,0,0,0,0,0,22,97
Lebanon,0,0,0,3,3,471,"1,308"
Malaysia,0,0,0,13,13,813,"1,004"
Maldives,0,0,0,0,0,3,3
Mongolia,0,0,0,3,3,146,164
Nepal,0,0,0,0,0,"1,390","1,929"
Oman,0,0,0,0,0,38,47
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Pakistan,0,1,0,4,5,"2,646","6,856"
Philippines,0,0,0,5,5,"10,537","26,840"
Qatar,0,1,0,0,1,41,64
Saudi Arabia,0,0,0,4,4,277,408
Singapore,0,0,0,2,2,496,555
Sri Lanka,0,0,0,1,1,616,784
Syria,0,0,0,1,1,286,"1,323"
Thailand,0,0,0,4,4,449,841
Timor-Leste,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,2,2,382,530
Vietnam,5,0,0,41,46,473,"15,091"
Yemen,0,0,0,0,0,51,618
Region Total For Asia,179,174,7,"7,431","7,791","99,925","181,687"
Europe,,,,,,,
Albania,0,0,0,0,0,95,477
Andorra,0,0,0,0,0,1,1
Armenia,0,0,0,0,0,125,379
Austria,0,0,0,1,1,152,153
Azerbaijan,0,0,0,0,0,62,134
Belarus,0,0,0,0,0,189,286
Belgium,0,0,0,0,0,303,325
Bosnia and Herzegovina,0,0,0,0,0,67,121
Bulgaria,0,0,0,1,1,412,564
Croatia,0,0,0,0,0,76,90
Cyprus,0,0,0,0,0,51,56
Czech Republic,0,0,0,0,0,177,207
Denmark,0,3,0,2,5,243,258
Faroe Islands,0,0,0,0,0,0,0
Greenland,0,0,0,0,0,1,1
TOTAL,0,3,0,2,5,244,259
Estonia,0,0,0,0,0,33,50
Finland,0,0,0,1,1,167,172
France,9,0,0,5,14,"2,118","2,240"
French Guiana,0,0,0,0,0,0,0
French Polynesia,0,0,0,0,0,2,2
French Southern and Antarctic Lands,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0
Mayotte,0,0,0,0,0,0,0
New Caledonia,0,0,0,4,4,5,5
Reunion,0,0,0,0,0,0,0
Saint Barthelemy,0,0,0,0,0,2,2
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Saint Martin,0,0,0,0,0,0,3
St. Pierre and Miquelon,0,0,0,0,0,0,0
Wallis and Futuna,0,0,0,0,0,0,0
TOTAL,9,0,0,9,18,"2,127","2,252"
Georgia,0,0,0,5,5,102,185
Germany,0,5,0,17,22,"1,970","2,117"
Great Britain and Northern Ireland,5,8,0,71,84,"5,995","6,513"
Anguilla,0,0,0,0,0,1,12
Bermuda,0,0,0,0,0,16,31
British Indian Ocean Territory,0,0,0,0,0,0,0
British Virgin Islands,0,0,0,0,0,3,12
Cayman Islands,0,0,0,0,0,2,10
Falkland Islands,0,0,0,0,0,1,2
Gibraltar,0,0,0,0,0,2,3
Montserrat,0,0,0,0,0,0,18
Pitcairn,0,0,0,0,0,0,0
St. Helena,0,0,0,0,0,0,0
South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,1,1,3,14
TOTAL,5,8,0,72,85,"6,023","6,615"
Greece,0,0,0,1,1,292,353
Hungary,0,0,0,2,2,262,299
Iceland,0,0,0,0,0,81,81
Ireland,0,0,0,0,0,613,633
Italy,0,0,0,1,1,"1,052","1,159"
Kazakhstan,6,0,0,12,18,142,192
Kosovo,0,0,0,0,0,24,140
Kyrgyzstan,0,0,0,2,2,41,62
Latvia,0,0,0,0,0,49,74
Liechtenstein,0,0,0,0,0,0,0
Lithuania,0,0,0,4,4,102,165
Luxembourg,0,0,0,1,1,11,12
Macedonia,0,0,0,0,0,60,186
Malta,0,0,0,0,0,7,13
Moldova,0,0,0,1,1,77,157
Monaco,0,0,0,0,0,3,4
Montenegro,0,0,0,0,0,5,58
Netherlands,0,11,0,19,30,577,603
Aruba,0,0,0,0,0,8,13
Curacao,0,0,0,0,0,10,16
Netherlands Antilles,0,0,0,0,0,0,0
Sint Maarten,0,0,0,0,0,2,15
TOTAL,0,11,0,19,30,597,647
Norway,0,0,0,4,4,114,119
Svalbard,0,0,0,0,0,0,0
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
TOTAL,0,0,0,4,4,114,119
Poland,0,1,0,0,1,"1,131","2,407"
Portugal,0,0,0,0,0,188,274
Macau,0,0,0,1,1,18,72
TOTAL,0,0,0,1,1,206,346
Romania,3,0,0,1,4,898,"1,209"
Russia,6,1,0,63,70,"1,679","2,184"
San Marino,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,179,265
Slovakia,0,0,0,0,0,141,170
Slovenia,0,0,0,1,1,11,11
Spain,0,0,0,7,7,"1,000","1,071"
Western Sahara,0,0,0,0,0,0,0
TOTAL,0,0,0,7,7,"1,000","1,071"
Sweden,0,0,0,1,1,459,483
Switzerland,0,0,0,2,2,299,307
Tajikistan,0,0,0,0,0,52,86
Turkey,0,0,0,8,8,"1,320","1,513"
Turkmenistan,0,1,0,0,1,15,25
Ukraine,3,0,0,2,5,821,"1,496"
Uzbekistan,0,0,0,0,0,111,354
Vatican City,0,0,0,0,0,0,0
Region Total For Europe,32,30,0,241,303,"24,230","30,724"
North America,,,,,,,
Antigua and Barbuda,0,0,0,0,0,7,152
"Bahamas, The",0,0,0,1,1,63,124
Barbados,0,0,0,0,0,44,201
Belize,0,0,0,0,0,51,337
Canada,1,10,0,43,54,"6,166","6,785"
Costa Rica,0,0,0,0,0,208,474
Cuba,0,0,0,0,0,12,"2,321"
Dominica,0,0,0,0,0,26,330
Dominican Republic,0,0,0,0,0,342,"21,872"
El Salvador,0,0,0,0,0,744,"9,450"
Grenada,0,0,0,0,0,30,290
Guatemala,0,0,0,9,9,694,"4,566"
Haiti,0,0,0,0,0,109,"10,075"
Honduras,0,0,0,0,0,536,"3,791"
Jamaica,0,0,0,0,0,690,"7,157"
Mexico,9,6,0,130,145,"7,870","42,322"
Nicaragua,0,0,0,0,0,70,946
Panama,0,4,0,3,7,85,322
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Saint Kitts and Nevis,0,0,0,0,0,6,135
Saint Lucia,0,0,0,0,0,25,289
Saint Vincent and the Grenadines,0,0,0,0,0,23,200
Trinidad and Tobago,0,0,0,0,0,371,"1,681"
Region Total For North America,10,20,0,186,216,"18,172","113,820"
Oceania,,,,,,,
Australia,7,0,0,4,11,878,931
Christmas Island,0,0,0,0,0,0,0
Cocos (Keeling) Islands,0,0,0,0,0,0,0
Norfolk Island,0,0,0,0,0,0,0
TOTAL,7,0,0,4,11,878,931
Fiji,0,0,0,0,0,32,240
Kiribati,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,2,2
"Micronesia, Federated States of",0,0,0,0,0,0,0
Nauru,0,0,0,0,0,2,2
New Zealand,1,1,0,1,3,285,314
Cook Islands,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0
Tokelau,0,0,0,0,0,0,0
TOTAL,1,1,0,1,3,285,314
Palau,0,0,0,0,0,5,6
Papua New Guinea,0,0,0,0,0,5,6
Samoa,0,0,0,0,0,0,11
Solomon Islands,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,119
Tuvalu,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,2,2
Region Total For Oceania,8,1,0,5,14,"1,211","1,633"
South America,,,,,,,
Argentina,1,1,0,1,3,"1,300","1,611"
Bolivia,0,0,0,9,9,316,850
Brazil,0,0,0,28,28,"2,810","3,424"
Chile,0,0,0,1,1,385,606
Colombia,0,0,0,17,17,"1,831","7,557"
Ecuador,0,0,0,3,3,946,"5,841"
Guyana,0,0,0,0,0,137,"4,061"
Paraguay,0,0,0,1,1,63,137
Peru,0,1,0,6,7,895,"5,048"
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Suriname,0,0,0,0,0,24,62
Uruguay,0,0,0,0,0,162,250
Venezuela,4,0,0,88,92,"3,027","3,758"
Region Total For South America,5,2,0,154,161,"11,896","33,205"
Grand Totals,243,227,7,"8,087","8,564","161,269","377,022"
