"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Africa,,,,,,,
Algeria,0,1,0,0,1,51,101
Angola,0,0,0,0,0,5,28
Benin,0,0,0,0,0,7,14
Botswana,0,0,0,0,0,19,20
Burkina Faso,0,0,0,0,0,11,25
Burundi,0,0,0,2,2,8,11
Cameroon,0,0,0,0,0,94,270
Cape Verde,0,0,0,0,0,11,757
Central African Republic,0,0,0,0,0,0,3
Chad,0,0,0,0,0,1,14
Comoros,0,0,0,0,0,0,0
"Congo, Rep. of the",0,0,0,0,0,5,13
"Congo, Dem. Rep. of the",0,0,0,5,5,34,144
Cote d'Ivoire,0,0,0,0,0,64,166
Djibouti,0,0,0,0,0,0,2
Egypt,3,5,0,29,37,623,"1,403"
Equatorial Guinea,0,0,0,0,0,1,1
Eritrea,0,0,0,0,0,43,142
Ethiopia,0,0,0,0,0,167,"1,341"
Gabon,0,0,0,0,0,4,8
"Gambia, The",0,0,0,0,0,33,87
Ghana,0,0,0,0,0,298,"1,172"
Guinea,0,0,0,0,0,36,158
Guinea-Bissau,0,0,0,0,0,1,2
Kenya,0,0,0,1,1,441,714
Lesotho,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,43,435
Libya,0,0,0,0,0,44,68
Madagascar,0,0,0,0,0,26,27
Malawi,0,0,0,0,0,33,37
Mali,0,0,0,0,0,30,74
Mauritania,0,0,0,0,0,8,44
Mauritius,0,0,0,0,0,27,27
Morocco,0,0,0,0,0,127,436
Mozambique,0,0,0,0,0,14,20
Namibia,0,0,0,0,0,5,5
Niger,0,0,0,0,0,14,26
Nigeria,0,0,0,24,24,790,"2,588"
Rwanda,0,0,0,0,0,12,20
Sao Tome and Principe,0,0,0,0,0,0,2
Senegal,0,0,0,0,0,65,211
Seychelles,0,0,0,0,0,1,1
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Sierra Leone,0,0,0,0,0,38,224
Somalia,0,0,0,0,0,17,126
South Africa,0,0,0,34,34,"1,095","1,164"
South Sudan,0,0,0,0,0,0,0
Sudan,0,0,0,0,0,24,103
Swaziland,0,0,0,0,0,4,7
Tanzania,0,0,0,0,0,120,166
Togo,0,0,0,0,0,16,131
Tunisia,0,0,0,0,0,41,52
Uganda,0,0,0,0,0,75,154
Zambia,0,0,0,0,0,102,124
